"filename", "language", "C#", "XML", "JavaScript", "HTML", "CSS", "Python", "JSON", "comment", "blank", "total"
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Navmenu\UC_T_Navmenu.Designer.cs", "C#", 113, 0, 0, 0, 0, 0, 0, 20, 7, 140
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Navmenu\UC_T_Navmenu.cs", "C#", 91, 0, 0, 0, 0, 0, 0, 4, 21, 116
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Navmenu\UC_Test.Designer.cs", "C#", 151, 0, 0, 0, 0, 0, 0, 20, 7, 178
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Navmenu\UC_Test.cs", "C#", 85, 0, 0, 0, 0, 0, 0, 0, 5, 90
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_BasicInfo.Designer.cs", "C#", 282, 0, 0, 0, 0, 0, 0, 62, 7, 351
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_BasicInfo.cs", "C#", 207, 0, 0, 0, 0, 0, 0, 0, 37, 244
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Message_Card.Designer.cs", "C#", 123, 0, 0, 0, 0, 0, 0, 35, 7, 165
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Message_Card.cs", "C#", 123, 0, 0, 0, 0, 0, 0, 7, 23, 153
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Pagination.Designer.cs", "C#", 509, 0, 0, 0, 0, 0, 0, 62, 7, 578
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Pagination.cs", "C#", 944, 0, 0, 0, 0, 0, 0, 33, 97, 1074
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Recent_Repair_Card.Designer.cs", "C#", 94, 0, 0, 0, 0, 0, 0, 29, 7, 130
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Recent_Repair_Card.cs", "C#", 60, 0, 0, 0, 0, 0, 0, 0, 12, 72
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_ReciptComplete.Designer.cs", "C#", 605, 0, 0, 0, 0, 0, 0, 143, 7, 755
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_ReciptComplete.cs", "C#", 272, 0, 0, 0, 0, 0, 0, 3, 61, 336
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_ReciptSubmit.Designer.cs", "C#", 300, 0, 0, 0, 0, 0, 0, 65, 7, 372
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_ReciptSubmit.cs", "C#", 284, 0, 0, 0, 0, 0, 0, 3, 59, 346
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Complete.Designer.cs", "C#", 223, 0, 0, 0, 0, 0, 0, 53, 7, 283
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Complete.cs", "C#", 102, 0, 0, 0, 0, 0, 0, 0, 20, 122
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Customer_Basicinfo.Designer.cs", "C#", 127, 0, 0, 0, 0, 0, 0, 32, 7, 166
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Customer_Basicinfo.cs", "C#", 82, 0, 0, 0, 0, 0, 0, 0, 14, 96
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Staff_Basicinfo.Designer.cs", "C#", 280, 0, 0, 0, 0, 0, 0, 59, 7, 346
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_Staff_Basicinfo.cs", "C#", 174, 0, 0, 0, 0, 0, 0, 3, 34, 211
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_detaildinfo.Designer.cs", "C#", 381, 0, 0, 0, 0, 0, 0, 74, 7, 462
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_Registe_detaildinfo.cs", "C#", 231, 0, 0, 0, 0, 0, 0, 10, 30, 271
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_SecureSet.Designer.cs", "C#", 362, 0, 0, 0, 0, 0, 0, 68, 7, 437
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_SecureSet.cs", "C#", 461, 0, 0, 0, 0, 0, 0, 1, 96, 558
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_StaffCard1.Designer.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 23, 7, 91
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Others\UC_StaffCard1.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
